id_municipio;População total urbana;Volume produzido (1000 m³);Volume coletado (1000 m³);Volume tratado (1000 m³);Relação coletado/produzido;Relação tratado/coletado;Relação tratado/produzido;Ano;Possui dado interpolado
1089;20345;965.37;0.0;0.0;0.0;0.0;0.0;2021;False
1090;3115;147.81;0.0;0.0;0.0;0.0;0.0;2021;False
1091;12834;608.97;0.0;0.0;0.0;0.0;0.0;2021;False
1092;5665;268.8;0.0;0.0;0.0;0.0;0.0;2021;False
1093;14412;683.85;0.0;0.0;0.0;0.0;0.0;2021;False
1094;48445;2298.72;1858.78;1858.78;0.81;1.0;0.81;2021;False
1095;24707;1172.35;0.0;0.0;0.0;0.0;0.0;2021;False
1096;2611;123.89;0.0;0.0;0.0;0.0;0.0;2021;False
1097;28415;1348.29;764.66;764.66;0.57;1.0;0.57;2021;False
1098;2502;118.72;0.0;0.0;0.0;0.0;0.0;2021;False
1099;40024;1899.14;1038.74;1038.74;0.55;1.0;0.55;2021;False
1100;4229;200.67;0.0;0.0;0.0;0.0;0.0;2021;False
1101;4680;222.07;0.0;0.0;0.0;0.0;0.0;2021;False
1102;3983;188.99;0.0;0.0;0.0;0.0;0.0;2021;False
1103;21534;1021.79;0.0;0.0;0.0;0.0;0.0;2021;False
1104;3954;187.62;0.0;0.0;0.0;0.0;0.0;2021;False
1105;23111;1096.62;892.19;892.19;0.81;1.0;0.81;2021;False
1106;6624;314.31;0.0;0.0;0.0;0.0;0.0;2021;False
1107;8097;384.2;316.05;316.05;0.82;1.0;0.82;2021;False
1108;96470;4577.5;6358.77;6358.77;1.39;1.0;1.39;2021;False
1109;2072;98.32;0.0;0.0;0.0;0.0;0.0;2021;False
1110;5418;257.08;0.0;0.0;0.0;0.0;0.0;2021;False
1111;47095;2234.66;497.54;497.54;0.22;1.0;0.22;2021;False
1112;93198;4422.25;5176.12;5176.12;1.17;1.0;1.17;2021;False
1113;2566;121.76;0.0;0.0;0.0;0.0;0.0;2021;False
1114;2254;106.95;0.0;0.0;0.0;0.0;0.0;2021;False
1115;6696;317.73;344.45;344.45;1.08;1.0;1.08;2021;False
1116;16492;782.55;637.98;637.98;0.82;1.0;0.82;2021;False
1117;1491;70.75;80.04;80.04;1.13;1.0;1.13;2021;False
1118;6918;328.26;0.0;0.0;0.0;0.0;0.0;2021;False
1119;193802;9195.9;1823.94;1823.93;0.2;1.0;0.2;2021;False
1120;2129;101.02;0.0;0.0;0.0;0.0;0.0;2021;False
1121;8376;397.44;0.0;0.0;0.0;0.0;0.0;2021;False
